[INFO]- ################################################################################################
[INFO]- #                         _       ______   ________  ____    ____  _____                       #
[INFO]- #                        / \     |_   _ \ |_   __  ||_   \  /   _||_   _|                      #
[INFO]- #                       / _ \      | |_) |  | |_ \_|  |   \/   |    | |                        #
[INFO]- #                      / ___ \     |  __'.  |  _|     | |\  /| |    | |   _                    #
[INFO]- #                    _/ /   \ \_  _| |__) |_| |_     _| |_\/_| |_  _| |__/ |                   #
[INFO]- #                   |____| |____||_______/|_____|   |_____||_____||________|                   #
[INFO]- #                                                                                              #
[INFO]- ################################################################################################
[INFO]- num_threads : 1
[INFO]- +-------------------------------------- train data file ---------------------------------------+
[INFO]- | ################ file name ############### Atom number ## nframes ######### Element ######## |
[INFO]- |                              ../data/test.extxyz   128     100                Cu
[INFO]- | Train Iters:    37 ,Loss: 2.41e-01 ,Time: 0.379 ,E_tot: 1.29e-01 ,Force: 1.11e-01
[INFO]- | Train Iters:    38 ,Loss: 2.84e-01 ,Time: 0.381 ,E_tot: 1.55e-01 ,Force: 1.28e-01
[INFO]- | Train Iters:    39 ,Loss: 2.96e-01 ,Time: 0.379 ,E_tot: 1.63e-01 ,Force: 1.33e-01
[INFO]- | Train Iters:    40 ,Loss: 2.59e-01 ,Time: 0.381 ,E_tot: 1.56e-01 ,Force: 1.03e-01
[INFO]- | Train Iters:    41 ,Loss: 2.40e-01 ,Time: 0.383 ,E_tot: 1.38e-01 ,Force: 1.01e-01
[INFO]- | Train Iters:    42 ,Loss: 2.09e-01 ,Time: 0.382 ,E_tot: 1.11e-01 ,Force: 9.81e-02
[INFO]- | Train Iters:    43 ,Loss: 2.01e-01 ,Time: 0.383 ,E_tot: 7.92e-02 ,Force: 1.21e-01
[INFO]- | Train Iters:    44 ,Loss: 1.63e-01 ,Time: 0.379 ,E_tot: 4.28e-02 ,Force: 1.20e-01
[INFO]- | Train Iters:    45 ,Loss: 1.13e-01 ,Time: 0.382 ,E_tot: 1.16e-02 ,Force: 1.01e-01
[INFO]- | Train Iters:    46 ,Loss: 1.24e-01 ,Time: 0.388 ,E_tot: 1.10e-02 ,Force: 1.13e-01
[INFO]- | Train Iters:    47 ,Loss: 1.36e-01 ,Time: 0.387 ,E_tot: 2.10e-02 ,Force: 1.15e-01
[INFO]- | Train Iters:    48 ,Loss: 1.45e-01 ,Time: 0.386 ,E_tot: 1.93e-02 ,Force: 1.26e-01
[INFO]- | Train Iters:    49 ,Loss: 9.61e-02 ,Time: 0.385 ,E_tot: 2.88e-03 ,Force: 9.32e-02
[INFO]- | Train Iters:    50 ,Loss: 1.31e-01 ,Time: 0.386 ,E_tot: 2.29e-02 ,Force: 1.08e-01
[INFO]- | Train Iters:    51 ,Loss: 1.66e-01 ,Time: 0.388 ,E_tot: 5.32e-02 ,Force: 1.13e-01
[INFO]- | Train Iters:    52 ,Loss: 1.76e-01 ,Time: 0.382 ,E_tot: 7.72e-02 ,Force: 9.89e-02
[INFO]- | Train Iters:    53 ,Loss: 2.03e-01 ,Time: 0.384 ,E_tot: 9.09e-02 ,Force: 1.12e-01
[INFO]- | Train Iters:    54 ,Loss: 1.89e-01 ,Time: 0.384 ,E_tot: 9.03e-02 ,Force: 9.87e-02
[INFO]- | Train Iters:    55 ,Loss: 1.93e-01 ,Time: 0.388 ,E_tot: 7.85e-02 ,Force: 1.14e-01
[INFO]- | Train Iters:    56 ,Loss: 1.67e-01 ,Time: 0.382 ,E_tot: 5.93e-02 ,Force: 1.08e-01
[INFO]- | Train Iters:    57 ,Loss: 1.41e-01 ,Time: 0.384 ,E_tot: 3.61e-02 ,Force: 1.05e-01
[INFO]- | Train Iters:    58 ,Loss: 1.11e-01 ,Time: 0.388 ,E_tot: 1.54e-02 ,Force: 9.57e-02
[INFO]- | Train Iters:    59 ,Loss: 1.16e-01 ,Time: 0.385 ,E_tot: 5.25e-03 ,Force: 1.11e-01
[INFO]- | Train Iters:    60 ,Loss: 1.27e-01 ,Time: 0.387 ,E_tot: 2.44e-02 ,Force: 1.03e-01
[INFO]- | Train Iters:    61 ,Loss: 1.41e-01 ,Time: 0.389 ,E_tot: 4.81e-02 ,Force: 9.32e-02
[INFO]- | Train Iters:    62 ,Loss: 1.62e-01 ,Time: 0.389 ,E_tot: 7.11e-02 ,Force: 9.05e-02
[INFO]- | Train Iters:    63 ,Loss: 1.94e-01 ,Time: 0.385 ,E_tot: 8.80e-02 ,Force: 1.06e-01
[INFO]- | Train Iters:    64 ,Loss: 1.85e-01 ,Time: 0.381 ,E_tot: 8.30e-02 ,Force: 1.02e-01
[INFO]- | Train Iters:    65 ,Loss: 1.63e-01 ,Time: 0.380 ,E_tot: 5.88e-02 ,Force: 1.04e-01
[INFO]- | Train Iters:    66 ,Loss: 1.11e-01 ,Time: 0.381 ,E_tot: 2.45e-02 ,Force: 8.62e-02
[INFO]- | Train Iters:    67 ,Loss: 1.02e-01 ,Time: 0.381 ,E_tot: 4.58e-03 ,Force: 9.76e-02
[INFO]- | Train Iters:    68 ,Loss: 1.31e-01 ,Time: 0.385 ,E_tot: 2.65e-02 ,Force: 1.05e-01
[INFO]- | Train Iters:    69 ,Loss: 1.25e-01 ,Time: 0.382 ,E_tot: 4.28e-02 ,Force: 8.23e-02
[INFO]- | Train Iters:    70 ,Loss: 1.27e-01 ,Time: 0.383 ,E_tot: 4.57e-02 ,Force: 8.11e-02
[INFO]- | Train Iters:    71 ,Loss: 1.16e-01 ,Time: 0.381 ,E_tot: 3.48e-02 ,Force: 8.13e-02
[INFO]- | Train Iters:    72 ,Loss: 9.46e-02 ,Time: 0.387 ,E_tot: 1.28e-02 ,Force: 8.18e-02
[INFO]- | Train Iters:    73 ,Loss: 1.19e-01 ,Time: 0.378 ,E_tot: 1.29e-02 ,Force: 1.06e-01
