[INFO]- ################################################################################################
[INFO]- #                         _       ______   ________  ____    ____  _____                       #
[INFO]- #                        / \     |_   _ \ |_   __  ||_   \  /   _||_   _|                      #
[INFO]- #                       / _ \      | |_) |  | |_ \_|  |   \/   |    | |                        #
[INFO]- #                      / ___ \     |  __'.  |  _|     | |\  /| |    | |   _                    #
[INFO]- #                    _/ /   \ \_  _| |__) |_| |_     _| |_\/_| |_  _| |__/ |                   #
[INFO]- #                   |____| |____||_______/|_____|   |_____||_____||________|                   #
[INFO]- #                                                                                              #
[INFO]- ################################################################################################
[INFO]- num_threads : 1
[INFO]- +-------------------------------------- train data file ---------------------------------------+
[INFO]- | ################ file name ############### Atom number ## nframes ######### Element ######## |
[INFO]- | Train Iters:    31 ,Loss: 1.16e+00 ,Time: 0.094 ,E_tot: 3.90e-01 ,Force: 2.79e-01 ,Virial: 4.96e-01
[INFO]- | Train Iters:    32 ,Loss: 1.25e+00 ,Time: 0.093 ,E_tot: 4.39e-01 ,Force: 2.99e-01 ,Virial: 5.10e-01
[INFO]- | Train Iters:    33 ,Loss: 1.31e+00 ,Time: 0.092 ,E_tot: 4.86e-01 ,Force: 2.71e-01 ,Virial: 5.49e-01
[INFO]- | Train Iters:    34 ,Loss: 1.26e+00 ,Time: 0.093 ,E_tot: 5.24e-01 ,Force: 2.78e-01 ,Virial: 4.63e-01
[INFO]- | Train Iters:    35 ,Loss: 1.33e+00 ,Time: 0.094 ,E_tot: 5.54e-01 ,Force: 2.35e-01 ,Virial: 5.39e-01
[INFO]- | Train Iters:    36 ,Loss: 1.29e+00 ,Time: 0.097 ,E_tot: 5.69e-01 ,Force: 2.66e-01 ,Virial: 4.51e-01
[INFO]- | Train Iters:    37 ,Loss: 1.35e+00 ,Time: 0.096 ,E_tot: 5.78e-01 ,Force: 2.30e-01 ,Virial: 5.41e-01
[INFO]- | Train Iters:    38 ,Loss: 1.38e+00 ,Time: 0.094 ,E_tot: 5.75e-01 ,Force: 2.36e-01 ,Virial: 5.68e-01
[INFO]- | Train Iters:    39 ,Loss: 1.43e+00 ,Time: 0.096 ,E_tot: 5.68e-01 ,Force: 2.38e-01 ,Virial: 6.26e-01
[INFO]- | Train Iters:    40 ,Loss: 1.51e+00 ,Time: 0.091 ,E_tot: 5.58e-01 ,Force: 2.15e-01 ,Virial: 7.38e-01
[INFO]- | Train Iters:    41 ,Loss: 1.54e+00 ,Time: 0.092 ,E_tot: 5.38e-01 ,Force: 1.99e-01 ,Virial: 8.00e-01
[INFO]- | Train Iters:    42 ,Loss: 1.49e+00 ,Time: 0.093 ,E_tot: 5.04e-01 ,Force: 1.98e-01 ,Virial: 7.86e-01
[INFO]- | Train Iters:    43 ,Loss: 1.39e+00 ,Time: 0.093 ,E_tot: 4.64e-01 ,Force: 2.19e-01 ,Virial: 7.02e-01
[INFO]- | Train Iters:    44 ,Loss: 1.30e+00 ,Time: 0.104 ,E_tot: 4.13e-01 ,Force: 2.19e-01 ,Virial: 6.69e-01
[INFO]- | Train Iters:    45 ,Loss: 1.40e+00 ,Time: 0.101 ,E_tot: 3.47e-01 ,Force: 1.73e-01 ,Virial: 8.78e-01
[INFO]- | Train Iters:    46 ,Loss: 1.32e+00 ,Time: 0.093 ,E_tot: 2.70e-01 ,Force: 2.04e-01 ,Virial: 8.48e-01
[INFO]- | Train Iters:    47 ,Loss: 1.32e+00 ,Time: 0.089 ,E_tot: 1.89e-01 ,Force: 1.74e-01 ,Virial: 9.54e-01
[INFO]- | Train Iters:    48 ,Loss: 1.06e+00 ,Time: 0.091 ,E_tot: 1.04e-01 ,Force: 2.03e-01 ,Virial: 7.56e-01
[INFO]- | Train Iters:    49 ,Loss: 1.08e+00 ,Time: 0.094 ,E_tot: 9.59e-03 ,Force: 1.83e-01 ,Virial: 8.88e-01
[INFO]- | Train Iters:    50 ,Loss: 1.09e+00 ,Time: 0.093 ,E_tot: 8.79e-02 ,Force: 1.99e-01 ,Virial: 8.05e-01
[INFO]- | Train Iters:    51 ,Loss: 1.20e+00 ,Time: 0.087 ,E_tot: 1.87e-01 ,Force: 1.97e-01 ,Virial: 8.17e-01
[INFO]- | Train Iters:    52 ,Loss: 1.38e+00 ,Time: 0.098 ,E_tot: 2.68e-01 ,Force: 1.89e-01 ,Virial: 9.19e-01
[INFO]- | Train Iters:    53 ,Loss: 1.33e+00 ,Time: 0.088 ,E_tot: 3.29e-01 ,Force: 1.96e-01 ,Virial: 8.05e-01
[INFO]- | Train Iters:    54 ,Loss: 1.37e+00 ,Time: 0.094 ,E_tot: 3.79e-01 ,Force: 1.96e-01 ,Virial: 7.91e-01
[INFO]- | Train Iters:    55 ,Loss: 1.53e+00 ,Time: 0.093 ,E_tot: 4.22e-01 ,Force: 1.61e-01 ,Virial: 9.48e-01
[INFO]- | Train Iters:    56 ,Loss: 1.43e+00 ,Time: 0.090 ,E_tot: 4.42e-01 ,Force: 1.89e-01 ,Virial: 7.98e-01
[INFO]- | Train Iters:    57 ,Loss: 1.50e+00 ,Time: 0.095 ,E_tot: 4.44e-01 ,Force: 1.85e-01 ,Virial: 8.68e-01
[INFO]- | Train Iters:    58 ,Loss: 1.35e+00 ,Time: 0.092 ,E_tot: 4.28e-01 ,Force: 1.92e-01 ,Virial: 7.32e-01
[INFO]- | Train Iters:    59 ,Loss: 1.47e+00 ,Time: 0.094 ,E_tot: 3.97e-01 ,Force: 1.54e-01 ,Virial: 9.21e-01
[INFO]- | Train Iters:    60 ,Loss: 1.31e+00 ,Time: 0.094 ,E_tot: 3.55e-01 ,Force: 1.87e-01 ,Virial: 7.72e-01
[INFO]- | Train Iters:    61 ,Loss: 1.40e+00 ,Time: 0.090 ,E_tot: 3.10e-01 ,Force: 1.57e-01 ,Virial: 9.36e-01
[INFO]- | Train Iters:    62 ,Loss: 1.20e+00 ,Time: 0.093 ,E_tot: 2.55e-01 ,Force: 1.85e-01 ,Virial: 7.63e-01
[INFO]- | Train Iters:    63 ,Loss: 1.22e+00 ,Time: 0.093 ,E_tot: 2.05e-01 ,Force: 1.82e-01 ,Virial: 8.36e-01
[INFO]- | Train Iters:    64 ,Loss: 1.17e+00 ,Time: 0.096 ,E_tot: 1.60e-01 ,Force: 1.83e-01 ,Virial: 8.27e-01
[INFO]- | Train Iters:    65 ,Loss: 1.17e+00 ,Time: 0.097 ,E_tot: 1.21e-01 ,Force: 1.56e-01 ,Virial: 8.95e-01
[INFO]- | Train Iters:    66 ,Loss: 1.10e+00 ,Time: 0.095 ,E_tot: 8.76e-02 ,Force: 1.66e-01 ,Virial: 8.48e-01
